N10_Grd_Prod_Pwr_Avg,M10_Grd_Prod_Pwr_Avg,N10_Amb_WindSpeed_Avg,M10_Amb_WindSpeed_Avg,N10_Amb_WindDir_Abs_Avg,WindSpeed_Mean,power_inferred_N10_windspeed,jensen_M10_windspeed,jensen_M10_power,power_inferred_M10_windspeed
944.4,757.1,7.0,6.5,226.5,6.864347826086957,7.038846282094031,7.070707070707071,958.3124374791598,6.563687895965321
826.3,516.2,7.0,5.5,226.8,5.019827586206896,6.741080360120041,6.818181818181818,855.671223741247,5.819273091030343
607.7,305.3,6.4,4.9,226.1,4.993103448275861,6.123374458152718,6.0606060606060606,586.8066022007334,4.982994331443814
713.3,583.5,6.4,6.0,226.0,5.703448275862069,6.443314438146048,6.565656565656566,758.0736912304101,6.050516838946315
1337.7,657.8,8.2,5.8,226.9,6.728448275862068,7.87512504168056,7.828282828282829,1314.1150383461154,6.275425141713905
2255.6,947.3,9.7,6.4,226.9,7.3181034482758625,9.363954651550518,9.343434343434344,2241.944648216072,7.045181727242414
1103.6,550.9,7.5,5.8,226.6,6.241379310344827,7.396798932977659,7.3232323232323235,1070.8299433144382,5.942814271423808
2164.4,989.5,9.5,6.5,226.5,8.134782608695652,9.230910303434477,9.343434343434344,2241.944648216072,7.140213404468156
2164.4,847.3,9.5,6.2,226.0,8.284347826086957,9.230910303434477,9.343434343434344,2241.944648216072,6.794931643881293
379.9,224.3,5.3,4.5,226.5,4.435344827586207,5.299766588862955,5.303030303030304,380.4924974991664,4.580693564521507
185.5,137.4,4.6,4.3,226.5,4.073275862068965,4.368456152050683,4.292929292929293,172.7132377459154,4.083361120373458
85.6,4.9,3.6,3.0,226.7,2.804310344827587,3.731743914638213,3.787878787878788,93.42680893631211,3.0
735.9,432.6,6.6,5.4,226.2,5.49051724137931,6.509836612204068,6.565656565656566,758.0736912304101,5.521507169056353
3450.6,3450.9,15.1,12.7,226.8,13.070689655172414,15.1,15.151515151515152,3448.0,12.7
2094.8,823.6,9.7,6.4,226.5,6.774137931034483,9.129543181060352,9.090909090909092,2068.6068689563185,6.734744914971657
1500.3,413.1,8.6,4.9,226.0,7.216379310344828,8.172890963654552,8.080808080808081,1447.5095031677229,5.442314104701567
2045.6,713.0,9.4,6.1,226.3,7.179310344827588,9.056685561853952,9.090909090909092,2068.6068689563185,6.443314438146048
2233.2,618.3,9.8,5.8,226.0,7.725225225225225,9.332277425808602,9.343434343434344,2241.944648216072,6.155051683894632
